-57.219,-39.441,4.8496
-4.6062,18.526,29.512
-30.87,5.3629,43.382
-7.1635,-77.034,16.161
-20.945,-2.9865,-31.696
-34.745,-42.699,-18.571
-41.432,-67.502,28.384
-48.145,-31.5,-21.215
-7.6699,-45.373,19.767
-29.932,-87.578,2.664
-22.219,33.483,-15.809
-12.86,-68.936,-3.6832
-6.5881,36.884,-13.706
-55.984,-24.661,-12.598
-24.07,-29.483,-17.993
-7.0686,-30.625,52.79
-45.804,15.847,11.748
-37.131,48.053,-10.437
-42.302,29.653,-1.8935
-12.522,-83.204,5.1924
-43.221,-21.74,39.891
-5.2399,-21.272,36.632
-37.432,-7.8757,39.266
-8.9451,-57.855,35.195
-4.9436,39.42,1.7861
-31.735,43.993,17.444
-10.197,30.332,37.829
-21.453,-64.208,45.622
-51.419,-10.454,-3.5412
-50.956,-38.898,32.266
-8.4945,67.996,-10.339
-29.408,19.522,-31.958
-45.404,-20.817,7.8224
-34.894,0.606,-0.43769
-11.989,-18.551,6.7466
-12.161,8.5785,9.7592
-24.896,0.5287,-0.60565
-19.661,-3.7753,-2.1598
-20.677,-2.6463,-18.366
-24.769,-20.3,-13.824
-8.2154,13.388,-6.75
51.068,-39.406,6.3211
3.2096,17.818,28.893
34.154,13.233,39.12
5.8158,-78.325,23.7
20.025,-2.5587,-30.951
32.262,-40.332,-17.586
45.344,-60.149,29.526
46.44,-31.906,-21.018
8.1857,-44.668,17.793
26.683,-89.066,1.9803
21.479,35.238,-15.055
13.101,-67.608,-0.44425
3.7678,44.486,-14.056
54.298,-22.013,-13.164
21.533,-29.123,-14.631
5.8717,-28.984,52.193
43.416,16.211,10.33
40.131,40.673,-7.5808
44.188,36.502,5.22
10.107,-83.163,11.754
38.868,-19.439,42.921
3.93,-20.931,37.269
35.336,-6.0972,39.654
9.4624,-57.528,37.282
3.6668,39.062,4.5115
29.138,48.514,15.785
9.6237,28.682,39.971
23.961,-62.241,46.5
50.646,-4.6661,-6.2637
52.681,-27.741,28.837
5.6755,69.993,-7.2315
26.486,16.072,-30.556
43.613,-19.296,9.0444
33.767,3.3026,-1.0601
9.8484,-16.691,7.6151
11.263,10.607,9.5103
24.487,2.5086,-0.36959
18.054,-1.8045,-0.84776
20.901,-1.4711,-18.034
24.667,-18.663,-12.989
7.4093,14.759,-6.4884
